epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0321,1.35755,2.55947,1.61265,0.38546,0.35165,0.28459,0.14342,1.71719,2.85149,2.03364,0.00055466,0.00055466,0.00055466
2,61.2075,1.49068,2.25571,1.74133,0.43456,0.32804,0.32017,0.18757,1.78252,2.36677,2.03514,0.00108834,0.00108834,0.00108834
3,90.2946,1.50163,2.14795,1.73312,0.51414,0.42927,0.46402,0.26677,1.68247,2.02368,2.12564,0.00160002,0.00160002,0.00160002
4,119.389,1.44671,2.03,1.71173,0.61913,0.46567,0.50967,0.30221,1.56282,1.87431,1.89787,0.00156798,0.00156798,0.00156798
5,148.356,1.37537,1.91664,1.65223,0.64942,0.4497,0.52159,0.32715,1.49559,1.88603,1.81641,0.00153497,0.00153497,0.00153497
6,176.818,1.36037,1.86427,1.63337,0.69487,0.54908,0.62633,0.3894,1.42234,1.61677,1.76428,0.00150197,0.00150197,0.00150197
7,204.671,1.3077,1.7264,1.58525,0.71334,0.56514,0.64483,0.41818,1.35578,1.5834,1.71226,0.00146896,0.00146896,0.00146896
8,233.555,1.26857,1.67411,1.56776,0.69872,0.61112,0.69077,0.4447,1.32527,1.39747,1.63547,0.00143595,0.00143595,0.00143595
9,262.408,1.24784,1.62432,1.54278,0.71774,0.59674,0.67377,0.42825,1.32532,1.41426,1.66486,0.00140295,0.00140295,0.00140295
10,308.655,1.21087,1.5711,1.51922,0.78028,0.61675,0.72597,0.47759,1.26232,1.33319,1.61622,0.00136994,0.00136994,0.00136994
11,337.544,1.20321,1.52981,1.50959,0.79128,0.60848,0.74219,0.49688,1.21148,1.2697,1.54406,0.00133693,0.00133693,0.00133693
12,366.147,1.18234,1.49092,1.48781,0.73391,0.63509,0.71906,0.46833,1.26557,1.37633,1.6038,0.00130393,0.00130393,0.00130393
13,394.787,1.18052,1.45696,1.47642,0.76692,0.64238,0.74267,0.50367,1.238,1.26005,1.57557,0.00127092,0.00127092,0.00127092
14,423.354,1.15005,1.43415,1.47518,0.78499,0.64511,0.75348,0.51586,1.19822,1.17852,1.54108,0.00123791,0.00123791,0.00123791
15,451.288,1.13904,1.40207,1.46262,0.81635,0.66675,0.77632,0.52866,1.189,1.16603,1.5163,0.00120491,0.00120491,0.00120491
16,480.306,1.10668,1.33959,1.43807,0.82156,0.66535,0.7879,0.54343,1.14896,1.15957,1.48508,0.0011719,0.0011719,0.0011719
17,509.288,1.10251,1.29567,1.42086,0.82096,0.6877,0.79969,0.55262,1.16738,1.09945,1.5018,0.00113889,0.00113889,0.00113889
18,537.242,1.08802,1.28774,1.4121,0.79521,0.70989,0.79304,0.54755,1.14316,1.09596,1.4905,0.00110589,0.00110589,0.00110589
19,566.031,1.08958,1.29002,1.42131,0.8092,0.70656,0.80565,0.55118,1.16289,1.09905,1.50559,0.00107288,0.00107288,0.00107288
20,594.357,1.09331,1.26169,1.42136,0.85783,0.69325,0.82409,0.56409,1.14086,1.03307,1.4817,0.00103987,0.00103987,0.00103987
21,622.806,1.07101,1.23552,1.39939,0.83821,0.72155,0.82353,0.57063,1.14525,1.035,1.48161,0.00100687,0.00100687,0.00100687
22,651.183,1.06242,1.21313,1.3896,0.83377,0.72365,0.84174,0.5775,1.10256,0.99981,1.43497,0.000973861,0.000973861,0.000973861
23,680.006,1.04499,1.21366,1.37978,0.82577,0.72403,0.82646,0.57944,1.10087,1.01489,1.43709,0.000940855,0.000940855,0.000940855
24,708.964,1.05371,1.19089,1.37382,0.86114,0.72904,0.84618,0.60034,1.07313,0.96278,1.40321,0.000907848,0.000907848,0.000907848
25,738.098,1.0384,1.14578,1.36914,0.85809,0.73732,0.84517,0.59404,1.0761,0.96148,1.41048,0.000874842,0.000874842,0.000874842
26,767.239,1.03648,1.14191,1.37511,0.88235,0.74296,0.85499,0.60742,1.07343,0.93381,1.413,0.000841835,0.000841835,0.000841835
27,795.908,1.02887,1.12432,1.36209,0.8488,0.74923,0.84586,0.6061,1.07107,0.93751,1.3926,0.000808828,0.000808828,0.000808828
28,824.245,1.01173,1.13179,1.35087,0.83998,0.75563,0.8554,0.61243,1.04395,0.92345,1.39322,0.000775822,0.000775822,0.000775822
29,853.873,1.00722,1.09734,1.34885,0.84348,0.76049,0.86001,0.62127,1.04192,0.88645,1.3796,0.000742815,0.000742815,0.000742815
30,882.342,1.00768,1.08144,1.35034,0.86849,0.76559,0.86416,0.6198,1.04237,0.88664,1.36746,0.000709809,0.000709809,0.000709809
31,911.278,0.98345,1.07092,1.32664,0.89047,0.76561,0.87848,0.63384,1.03906,0.84619,1.36396,0.000676802,0.000676802,0.000676802
32,939.205,0.98967,1.06782,1.33554,0.87538,0.77475,0.87337,0.6269,1.04447,0.84536,1.36839,0.000643795,0.000643795,0.000643795
33,967.656,0.96544,1.02466,1.31626,0.857,0.76804,0.87275,0.63046,1.03887,0.85466,1.37159,0.000610789,0.000610789,0.000610789
34,996.069,0.97427,1.02526,1.32059,0.84729,0.78976,0.88294,0.6286,1.05018,0.84208,1.37223,0.000577782,0.000577782,0.000577782
35,1024.49,0.9477,1.00131,1.30039,0.85241,0.79496,0.88246,0.6362,1.03249,0.82858,1.36503,0.000544776,0.000544776,0.000544776
36,1052.96,0.95758,0.98655,1.31211,0.88496,0.77972,0.88665,0.6405,1.03989,0.81875,1.35727,0.000511769,0.000511769,0.000511769
37,1082.09,0.94189,0.96626,1.29183,0.86725,0.78928,0.88353,0.63912,1.02349,0.81045,1.34629,0.000478762,0.000478762,0.000478762
38,1110.83,0.92102,0.95214,1.28288,0.89397,0.79303,0.88833,0.6467,1.0096,0.8002,1.33801,0.000445756,0.000445756,0.000445756
39,1139.8,0.93464,0.95495,1.29648,0.88702,0.79801,0.88693,0.65291,0.98713,0.78735,1.32565,0.000412749,0.000412749,0.000412749
40,1167.93,0.9242,0.93625,1.28153,0.85964,0.81382,0.89107,0.65141,0.99824,0.77624,1.32584,0.000379743,0.000379743,0.000379743
41,1200.01,0.87713,0.76565,1.27281,0.90113,0.79905,0.90061,0.66008,0.98877,0.75359,1.31273,0.000346736,0.000346736,0.000346736
